;instance;status;sample;rcpsp/max_feasible;makespan_pi;makespan_rte_star
125;j10/PSP126;feasible_but_not_dc;0;NotApplicable;;
126;j10/PSP127;feasible_but_not_dc;0;NotApplicable;;
127;j10/PSP128;feasible_but_not_dc;0;NotApplicable;;
128;j10/PSP129;feasible_and_dc;0;TRUE;68;68
129;j10/PSP130;feasible_and_dc;0;TRUE;55;55
130;j10/PSP131;feasible_and_dc;0;TRUE;51;56
131;j10/PSP132;feasible_but_not_dc;0;NotApplicable;;
132;j10/PSP133;feasible_but_not_dc;0;NotApplicable;;
133;j10/PSP134;feasible_but_not_dc;0;NotApplicable;;
134;j10/PSP135;feasible_but_not_dc;0;NotApplicable;;
135;j10/PSP136;infeasible;0;NotApplicable;;
136;j10/PSP137;feasible_but_not_dc;0;NotApplicable;;
137;j10/PSP138;feasible_and_dc;0;TRUE;60;60
138;j10/PSP139;feasible_and_dc;0;TRUE;70;70
139;j10/PSP140;infeasible;0;NotApplicable;;
140;j10/PSP141;infeasible;0;NotApplicable;;
141;j10/PSP142;feasible_but_not_dc;0;NotApplicable;;
142;j10/PSP143;feasible_and_dc;0;TRUE;44;49
143;j10/PSP144;feasible_and_dc;0;TRUE;32;33
144;j10/PSP145;infeasible;0;NotApplicable;;
145;j10/PSP146;feasible_but_not_dc;0;NotApplicable;;
146;j10/PSP147;feasible_and_dc;0;TRUE;51;51
147;j10/PSP148;feasible_but_not_dc;0;NotApplicable;;
148;j10/PSP149;feasible_but_not_dc;0;NotApplicable;;
149;j10/PSP150;feasible_and_dc;0;TRUE;32;38
150;j10/PSP151;feasible_but_not_dc;0;NotApplicable;;
151;j10/PSP152;infeasible;0;NotApplicable;;
152;j10/PSP153;feasible_but_not_dc;0;NotApplicable;;
153;j10/PSP154;infeasible;0;NotApplicable;;
154;j10/PSP155;feasible_but_not_dc;0;NotApplicable;;
155;j10/PSP156;feasible_and_dc;0;TRUE;83;83
156;j10/PSP157;feasible_but_not_dc;0;NotApplicable;;
157;j10/PSP158;feasible_but_not_dc;0;NotApplicable;;
158;j10/PSP159;infeasible;0;NotApplicable;;
159;j10/PSP160;infeasible;0;NotApplicable;;
160;j10/PSP161;feasible_but_not_dc;0;NotApplicable;;
161;j10/PSP162;infeasible;0;NotApplicable;;
162;j10/PSP163;feasible_but_not_dc;0;NotApplicable;;
163;j10/PSP164;infeasible;0;NotApplicable;;
164;j10/PSP165;infeasible;0;NotApplicable;;
165;j10/PSP166;feasible_and_dc;0;TRUE;43;44
166;j10/PSP167;feasible_but_not_dc;0;NotApplicable;;
167;j10/PSP168;infeasible;0;NotApplicable;;
168;j10/PSP169;infeasible;0;NotApplicable;;
169;j10/PSP170;feasible_but_not_dc;0;NotApplicable;;
170;j10/PSP171;feasible_but_not_dc;0;NotApplicable;;
171;j10/PSP172;feasible_but_not_dc;0;NotApplicable;;
172;j10/PSP173;feasible_but_not_dc;0;NotApplicable;;
173;j10/PSP174;feasible_but_not_dc;0;NotApplicable;;
174;j10/PSP175;feasible_and_dc;0;TRUE;23;27
175;j10/PSP176;feasible_but_not_dc;0;NotApplicable;;
176;j10/PSP177;feasible_and_dc;0;TRUE;64;64
177;j10/PSP178;feasible_but_not_dc;0;NotApplicable;;
178;j10/PSP179;feasible_and_dc;0;TRUE;37;45
179;j10/PSP180;infeasible;0;NotApplicable;;
180;j10/PSP181;feasible_and_dc;0;TRUE;55;58
181;j10/PSP182;feasible_and_dc;0;TRUE;51;52
182;j10/PSP183;feasible_and_dc_but_rte_error;0;NotApplicable;;
183;j10/PSP184;infeasible;0;NotApplicable;;
184;j10/PSP185;infeasible;0;NotApplicable;;
185;j10/PSP186;feasible_but_not_dc;0;NotApplicable;;
186;j10/PSP187;feasible_but_not_dc;0;NotApplicable;;
187;j10/PSP188;feasible_and_dc;0;TRUE;46;46
188;j10/PSP189;feasible_and_dc;0;TRUE;40;43
189;j10/PSP190;feasible_but_not_dc;0;NotApplicable;;
190;j10/PSP191;feasible_but_not_dc;0;NotApplicable;;
191;j10/PSP192;feasible_but_not_dc;0;NotApplicable;;
192;j10/PSP193;infeasible;0;NotApplicable;;
193;j10/PSP194;feasible_but_not_dc;0;NotApplicable;;
194;j10/PSP195;infeasible;0;NotApplicable;;
195;j10/PSP196;infeasible;0;NotApplicable;;
196;j10/PSP197;infeasible;0;NotApplicable;;
197;j10/PSP198;infeasible;0;NotApplicable;;
198;j10/PSP199;feasible_but_not_dc;0;NotApplicable;;
199;j10/PSP200;feasible_but_not_dc;0;NotApplicable;;
200;j10/PSP201;infeasible;0;NotApplicable;;
201;j10/PSP202;infeasible;0;NotApplicable;;
202;j10/PSP203;feasible_but_not_dc;0;NotApplicable;;
203;j10/PSP204;infeasible;0;NotApplicable;;
204;j10/PSP205;infeasible;0;NotApplicable;;
205;j10/PSP206;feasible_and_dc;0;TRUE;63;63
206;j10/PSP207;feasible_and_dc_but_rte_error;0;NotApplicable;;
207;j10/PSP208;infeasible;0;NotApplicable;;
208;j10/PSP209;infeasible;0;NotApplicable;;
209;j10/PSP210;feasible_and_dc;0;TRUE;46;50
210;j10/PSP211;infeasible;0;NotApplicable;;
211;j10/PSP212;feasible_and_dc;0;TRUE;74;74
212;j10/PSP213;feasible_and_dc;0;TRUE;58;62
213;j10/PSP214;feasible_but_not_dc;0;NotApplicable;;
214;j10/PSP215;infeasible;0;NotApplicable;;
215;j10/PSP216;feasible_but_not_dc;0;NotApplicable;;
216;j10/PSP217;feasible_but_not_dc;0;NotApplicable;;
217;j10/PSP218;infeasible;0;NotApplicable;;
218;j10/PSP219;feasible_and_dc;0;TRUE;66;66
219;j10/PSP220;infeasible;0;NotApplicable;;
220;j10/PSP221;feasible_but_not_dc;0;NotApplicable;;
221;j10/PSP222;feasible_and_dc;0;TRUE;88;88
222;j10/PSP223;feasible_and_dc_but_rte_error;0;NotApplicable;;
223;j10/PSP224;feasible_and_dc;0;TRUE;99;104
224;j10/PSP225;infeasible;0;NotApplicable;;
225;j10/PSP226;feasible_but_not_dc;0;NotApplicable;;
226;j10/PSP227;feasible_but_not_dc;0;NotApplicable;;
227;j10/PSP228;feasible_and_dc;0;TRUE;61;65
228;j10/PSP229;feasible_and_dc;0;TRUE;85;88
229;j10/PSP230;feasible_and_dc;0;TRUE;73;73
230;j10/PSP231;feasible_but_not_dc;0;NotApplicable;;
231;j10/PSP232;feasible_but_not_dc;0;NotApplicable;;
232;j10/PSP233;feasible_but_not_dc;0;NotApplicable;;
233;j10/PSP234;infeasible;0;NotApplicable;;
234;j10/PSP235;feasible_but_not_dc;0;NotApplicable;;
235;j10/PSP236;feasible_and_dc;0;TRUE;42;44
236;j10/PSP237;infeasible;0;NotApplicable;;
237;j10/PSP238;feasible_but_not_dc;0;NotApplicable;;
238;j10/PSP239;infeasible;0;NotApplicable;;
239;j10/PSP240;feasible_and_dc;0;TRUE;54;54
240;j10/PSP241;feasible_but_not_dc;0;NotApplicable;;
241;j10/PSP242;feasible_but_not_dc;0;NotApplicable;;
242;j10/PSP243;infeasible;0;NotApplicable;;
243;j10/PSP244;infeasible;0;NotApplicable;;
244;j10/PSP245;infeasible;0;NotApplicable;;
245;j10/PSP246;infeasible;0;NotApplicable;;
246;j10/PSP247;infeasible;0;NotApplicable;;
247;j10/PSP248;feasible_but_not_dc;0;NotApplicable;;
248;j10/PSP249;feasible_but_not_dc;0;NotApplicable;;
249;j10/PSP250;infeasible;0;NotApplicable;;
250;j10/PSP251;feasible_but_not_dc;0;NotApplicable;;
251;j10/PSP252;infeasible;0;NotApplicable;;
252;j10/PSP253;infeasible;0;NotApplicable;;
253;j10/PSP254;infeasible;0;NotApplicable;;
254;j10/PSP255;feasible_but_not_dc;0;NotApplicable;;
255;j10/PSP256;feasible_but_not_dc;0;NotApplicable;;
256;j10/PSP257;feasible_but_not_dc;0;NotApplicable;;
257;j10/PSP258;infeasible;0;NotApplicable;;
258;j10/PSP259;feasible_but_not_dc;0;NotApplicable;;
259;j10/PSP260;feasible_but_not_dc;0;NotApplicable;;
260;j10/PSP261;infeasible;0;NotApplicable;;
261;j10/PSP262;feasible_but_not_dc;0;NotApplicable;;
262;j10/PSP263;feasible_and_dc;0;TRUE;70;70
263;j10/PSP264;feasible_but_not_dc;0;NotApplicable;;
264;j10/PSP265;infeasible;0;NotApplicable;;
265;j10/PSP266;infeasible;0;NotApplicable;;
266;j10/PSP267;feasible_and_dc;0;TRUE;62;64
267;j10/PSP268;feasible_but_not_dc;0;NotApplicable;;
268;j10/PSP269;feasible_and_dc;0;TRUE;39;40
269;j10/PSP270;feasible_but_not_dc;0;NotApplicable;;
