,instance,status,sample,rcpsp/max_feasible,makespan_rte_star,makespan_pi,gap_pi
45,j10/PSP46,feasible_and_dc,0,True,42.0,40.0,0.0
46,j10/PSP47,feasible_but_not_dc,0,NotApplicable,,,
47,j10/PSP48,infeasible,0,NotApplicable,,,
48,j10/PSP49,feasible_and_dc,0,True,34.0,32.0,0.0
49,j10/PSP50,feasible_but_not_dc,0,NotApplicable,,,
50,j10/PSP51,infeasible,0,NotApplicable,,,
51,j10/PSP52,feasible_but_not_dc,0,NotApplicable,,,
52,j10/PSP53,feasible_but_not_dc,0,NotApplicable,,,
53,j10/PSP54,feasible_but_not_dc,0,NotApplicable,,,
54,j10/PSP55,infeasible,0,NotApplicable,,,
55,j10/PSP56,feasible_but_not_dc,0,NotApplicable,,,
56,j10/PSP57,feasible_but_not_dc,0,NotApplicable,,,
57,j10/PSP58,feasible_and_dc,0,True,25.0,25.0,0.0
58,j10/PSP59,feasible_but_not_dc,0,NotApplicable,,,
59,j10/PSP60,feasible_but_not_dc,0,NotApplicable,,,
60,j10/PSP61,infeasible,0,NotApplicable,,,
61,j10/PSP62,feasible_but_not_dc,0,NotApplicable,,,
62,j10/PSP63,feasible_but_not_dc,0,NotApplicable,,,
63,j10/PSP64,feasible_but_not_dc,0,NotApplicable,,,
64,j10/PSP65,feasible_but_not_dc,0,NotApplicable,,,
65,j10/PSP66,infeasible,0,NotApplicable,,,
66,j10/PSP67,infeasible,0,NotApplicable,,,
67,j10/PSP68,infeasible,0,NotApplicable,,,
68,j10/PSP69,feasible_but_not_dc,0,NotApplicable,,,
69,j10/PSP70,feasible_but_not_dc,0,NotApplicable,,,
70,j10/PSP71,infeasible,0,NotApplicable,,,
71,j10/PSP72,infeasible,0,NotApplicable,,,
72,j10/PSP73,feasible_but_not_dc,0,NotApplicable,,,
73,j10/PSP74,infeasible,0,NotApplicable,,,
74,j10/PSP75,feasible_and_dc,0,True,36.0,35.0,0.0
75,j10/PSP76,infeasible,0,NotApplicable,,,
76,j10/PSP77,feasible_and_dc,0,True,76.0,67.0,0.0
77,j10/PSP78,feasible_and_dc,0,True,33.0,32.0,0.0
78,j10/PSP79,feasible_and_dc,0,True,38.0,34.0,0.0
79,j10/PSP80,feasible_but_not_dc,0,NotApplicable,,,
80,j10/PSP81,feasible_and_dc,0,True,30.0,28.0,0.0
81,j10/PSP82,feasible_but_not_dc,0,NotApplicable,,,
82,j10/PSP83,feasible_but_not_dc,0,NotApplicable,,,
83,j10/PSP84,feasible_and_dc,0,True,54.0,54.0,0.0
84,j10/PSP85,feasible_but_not_dc,0,NotApplicable,,,
85,j10/PSP86,feasible_and_dc,0,True,54.0,49.0,0.0
86,j10/PSP87,feasible_but_not_dc,0,NotApplicable,,,
87,j10/PSP88,feasible_but_not_dc,0,NotApplicable,,,
88,j10/PSP89,feasible_but_not_dc,0,NotApplicable,,,
89,j10/PSP90,feasible_but_not_dc,0,NotApplicable,,,
90,j10/PSP91,feasible_but_not_dc,0,NotApplicable,,,
91,j10/PSP92,infeasible,0,NotApplicable,,,
92,j10/PSP93,infeasible,0,NotApplicable,,,
93,j10/PSP94,feasible_but_not_dc,0,NotApplicable,,,
94,j10/PSP95,feasible_and_dc,0,True,54.0,54.0,0.0
95,j10/PSP96,feasible_and_dc,0,True,68.0,63.0,0.0
96,j10/PSP97,feasible_but_not_dc,0,NotApplicable,,,
97,j10/PSP98,infeasible,0,NotApplicable,,,
98,j10/PSP99,feasible_but_not_dc,0,NotApplicable,,,
99,j10/PSP100,feasible_but_not_dc,0,NotApplicable,,,
100,j10/PSP101,feasible_but_not_dc,0,NotApplicable,,,
101,j10/PSP102,feasible_but_not_dc,0,NotApplicable,,,
102,j10/PSP103,feasible_and_dc,0,True,23.0,22.0,0.0
103,j10/PSP104,feasible_and_dc,0,True,39.0,38.0,0.0
104,j10/PSP105,feasible_and_dc_but_rte_error,0,NotApplicable,,,
105,j10/PSP106,feasible_but_not_dc,0,NotApplicable,,,
106,j10/PSP107,feasible_and_dc,0,True,52.0,51.0,0.0
107,j10/PSP108,infeasible,0,NotApplicable,,,
108,j10/PSP109,infeasible,0,NotApplicable,,,
109,j10/PSP110,feasible_but_not_dc,0,NotApplicable,,,
110,j10/PSP111,feasible_and_dc,0,True,40.0,39.0,0.0
111,j10/PSP112,infeasible,0,NotApplicable,,,
112,j10/PSP113,feasible_but_not_dc,0,NotApplicable,,,
113,j10/PSP114,feasible_and_dc,0,True,46.0,45.0,0.0
114,j10/PSP115,feasible_but_not_dc,0,NotApplicable,,,
115,j10/PSP116,feasible_and_dc,0,True,27.0,20.0,0.0
116,j10/PSP117,feasible_and_dc,0,True,37.0,36.0,0.0
117,j10/PSP118,infeasible,0,NotApplicable,,,
118,j10/PSP119,infeasible,0,NotApplicable,,,
119,j10/PSP120,feasible_but_not_dc,0,NotApplicable,,,
120,j10/PSP121,feasible_but_not_dc,0,NotApplicable,,,
121,j10/PSP122,infeasible,0,NotApplicable,,,
122,j10/PSP123,infeasible,0,NotApplicable,,,
123,j10/PSP124,infeasible,0,NotApplicable,,,
124,j10/PSP125,infeasible,0,NotApplicable,,,
125,j10/PSP126,feasible_but_not_dc,0,NotApplicable,,,
126,j10/PSP127,feasible_but_not_dc,0,NotApplicable,,,
127,j10/PSP128,feasible_but_not_dc,0,NotApplicable,,,
128,j10/PSP129,feasible_and_dc,0,True,68.0,68.0,0.0
129,j10/PSP130,feasible_and_dc,0,True,55.0,55.0,0.0
130,j10/PSP131,feasible_and_dc,0,True,56.0,51.0,0.0
131,j10/PSP132,feasible_but_not_dc,0,NotApplicable,,,
132,j10/PSP133,feasible_but_not_dc,0,NotApplicable,,,
133,j10/PSP134,feasible_but_not_dc,0,NotApplicable,,,
134,j10/PSP135,feasible_but_not_dc,0,NotApplicable,,,
135,j10/PSP136,infeasible,0,NotApplicable,,,
136,j10/PSP137,feasible_but_not_dc,0,NotApplicable,,,
137,j10/PSP138,feasible_and_dc,0,True,60.0,60.0,0.0
138,j10/PSP139,feasible_and_dc,0,True,70.0,70.0,0.0
139,j10/PSP140,infeasible,0,NotApplicable,,,
140,j10/PSP141,infeasible,0,NotApplicable,,,
141,j10/PSP142,feasible_but_not_dc,0,NotApplicable,,,
142,j10/PSP143,feasible_and_dc,0,True,49.0,44.0,0.0
143,j10/PSP144,feasible_and_dc,0,True,33.0,32.0,0.0
144,j10/PSP145,infeasible,0,NotApplicable,,,
145,j10/PSP146,feasible_but_not_dc,0,NotApplicable,,,
146,j10/PSP147,feasible_and_dc,0,True,51.0,51.0,0.0
147,j10/PSP148,feasible_but_not_dc,0,NotApplicable,,,
148,j10/PSP149,feasible_but_not_dc,0,NotApplicable,,,
149,j10/PSP150,feasible_and_dc,0,True,38.0,32.0,0.0
150,j10/PSP151,feasible_but_not_dc,0,NotApplicable,,,
151,j10/PSP152,infeasible,0,NotApplicable,,,
152,j10/PSP153,feasible_but_not_dc,0,NotApplicable,,,
153,j10/PSP154,infeasible,0,NotApplicable,,,
154,j10/PSP155,feasible_but_not_dc,0,NotApplicable,,,
155,j10/PSP156,feasible_and_dc,0,True,83.0,83.0,0.0
156,j10/PSP157,feasible_but_not_dc,0,NotApplicable,,,
157,j10/PSP158,feasible_but_not_dc,0,NotApplicable,,,
158,j10/PSP159,infeasible,0,NotApplicable,,,
159,j10/PSP160,infeasible,0,NotApplicable,,,
160,j10/PSP161,feasible_but_not_dc,0,NotApplicable,,,
161,j10/PSP162,infeasible,0,NotApplicable,,,
162,j10/PSP163,feasible_but_not_dc,0,NotApplicable,,,
163,j10/PSP164,infeasible,0,NotApplicable,,,
164,j10/PSP165,infeasible,0,NotApplicable,,,
165,j10/PSP166,feasible_and_dc,0,True,44.0,43.0,0.0
166,j10/PSP167,feasible_but_not_dc,0,NotApplicable,,,
167,j10/PSP168,infeasible,0,NotApplicable,,,
168,j10/PSP169,infeasible,0,NotApplicable,,,
169,j10/PSP170,feasible_but_not_dc,0,NotApplicable,,,
170,j10/PSP171,feasible_but_not_dc,0,NotApplicable,,,
171,j10/PSP172,feasible_but_not_dc,0,NotApplicable,,,
172,j10/PSP173,feasible_but_not_dc,0,NotApplicable,,,
173,j10/PSP174,feasible_but_not_dc,0,NotApplicable,,,
174,j10/PSP175,feasible_and_dc,0,True,27.0,23.0,0.0
175,j10/PSP176,feasible_but_not_dc,0,NotApplicable,,,
176,j10/PSP177,feasible_and_dc,0,True,64.0,64.0,0.0
177,j10/PSP178,feasible_but_not_dc,0,NotApplicable,,,
178,j10/PSP179,feasible_and_dc,0,True,45.0,37.0,0.0
179,j10/PSP180,infeasible,0,NotApplicable,,,
180,j10/PSP181,feasible_and_dc,0,True,58.0,55.0,0.0
181,j10/PSP182,feasible_and_dc,0,True,52.0,51.0,0.0
182,j10/PSP183,feasible_and_dc,0,True,57.0,53.0,0.0
